calendar_year,calendar_month,route,average_daily_ridership,source,objectid,city
2019,12,51,6257,APC,611,Philadelphia
2019,12,LUCYGO,1533,APC,612,Philadelphia
2019,12,LUCYGR,965,APC,613,Philadelphia
2019,12,L1 OWL,1754,APC,614,Philadelphia
2019,12,82,8779,APC,615,Philadelphia
2019,12,81,5050,APC,616,Philadelphia
2020,1,1,2668,APC,617,Philadelphia
2020,1,2,5746,APC,618,Philadelphia
2020,1,3,8426,APC,619,Philadelphia
2020,1,4,7208,APC,620,Philadelphia
2020,1,5,3671,APC,621,Philadelphia
2020,1,6,5886,APC,622,Philadelphia
2020,1,7,5324,APC,623,Philadelphia
2020,1,8,3047,APC,624,Philadelphia
2020,1,9,4642,APC,625,Philadelphia
2020,1,T1,10422,Traffic,626,Philadelphia
